Issue Type,Issue key,Issue id,Summary,Status,Created,Updated,Custom field (Severity),Project key,Project name,Project type,Project lead,Project description,Project url,Component/s,Component/s,Priority,Resolved,Custom field (When Detected),Custom field (Defect Type (TES))
Defect,SE-1548,277337,BCUI Infra - SSH Weak Algorithms Supported ,New,17/Feb/17 2:51 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Billing Care UI,,Normal,,Integration,Security
Defect,SE-1545,277114,Mass Maintenance Security Code Review - Use of unsafe yaml load,Closed,16/Feb/17 6:21 PM,18/Apr/17 6:14 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,17/Apr/17 4:36 PM,Integration,Security
Defect,SE-1544,277109,"Mass Maintenance Security Code Review - get(url,headers,verify) verify=false",Closed,16/Feb/17 6:15 PM,18/Apr/17 6:13 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,17/Apr/17 4:36 PM,Integration,Security
Defect,SE-1543,276981,Security Incident: Github Webhook from realartists.com in Private Repos,Closed,16/Feb/17 2:54 PM,18/Apr/17 6:14 PM,S1,SE,Security Engineering,software,josh8058,,,Public Github,,Normal,01/Mar/17 7:04 PM,Integration,Security
Defect,SE-1534,275475,Information Exposure through Business Logic Vulnerability,Closed,13/Feb/17 8:40 PM,18/Apr/17 6:13 PM,S1,SE,Security Engineering,software,josh8058,,,My Rackspace,,High,01/Mar/17 10:33 PM,Integration,Security
Defect,SE-1532,274731,Signup service is sending sensitive information to Fraud detection vendor,Closed,10/Feb/17 9:48 PM,18/Apr/17 6:14 PM,S0,SE,Security Engineering,software,josh8058,,,Signup Service,,Normal,03/Apr/17 3:30 PM,Integration,Security
Defect,SE-1528,273725,Responsible Disclosure - Possible subdomain takeover,New,08/Feb/17 3:54 PM,18/Apr/17 6:19 PM,S3,SE,Security Engineering,software,josh8058,,,DNS Request,,Normal,,Integration,Security
Defect,SE-1519,273424,BPiT API - Incorrect Response for the invalid/malicious input.,New,07/Feb/17 6:51 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1518,273422,BPiT API - SSL/TLS Diffie-Hellman Modulus <= 1024 Bits (Logjam),New,07/Feb/17 6:46 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1517,273417,BPiT API - Web Server HTTP Header/Error Page Information Disclosure,New,07/Feb/17 6:39 PM,18/Apr/17 6:20 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1516,273413,BPiT API - TLS Version 1.0 Protocol Detection,New,07/Feb/17 6:38 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1512,272912,BPiT Infra - System is open for the internal Rackspace users.,New,06/Feb/17 7:20 PM,18/Apr/17 6:20 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1511,272911,BPiT Infra - OpenSSH < 7.0 Multiple Vulnerabilities,New,06/Feb/17 7:19 PM,18/Apr/17 6:19 PM,S3,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1510,272907,BPiT Infra - SSL/TLS Diffie-Hellman Modulus <= 1024 Bits (Logjam),New,06/Feb/17 7:17 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1509,272906,BPiT Infra - SSH weak algorithms supported – CBC Mode Ciphers Enabled,New,06/Feb/17 7:15 PM,18/Apr/17 6:20 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1508,272905,BPiT Infra - SSH weak algorithms supported – Weak MAC & Arcfour Algorithms enabled,New,06/Feb/17 7:14 PM,18/Apr/17 6:20 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1507,272903,BPiT Infra - Web Server HTTP Header/Error Page Information Disclosure,New,06/Feb/17 7:12 PM,18/Apr/17 6:19 PM,S3,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1506,272900,BPiT Infra - TLS Version 1.0 Protocol Detection,New,06/Feb/17 7:10 PM,18/Apr/17 6:20 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1505,272832,"BPiT Security Code Review - Consider the security implications with the modules – ProcessError, SubProcess.",New,06/Feb/17 5:25 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1504,272829,BPiT Security Code Review - subprocess_without_shell_equals_true,New,06/Feb/17 5:24 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1503,272828,BPiT Security Code Review - Partial executable path is detected.,New,06/Feb/17 5:23 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1502,272826,BPiT Security Code Review - A Generic exception is detected,New,06/Feb/17 5:22 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1501,272825,BPiT Security Code Review - Use of possibly insecure function eval(),Closed,06/Feb/17 5:21 PM,18/Apr/17 6:14 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,16/Feb/17 9:38 PM,Integration,Security
Defect,SE-1500,272823,BPiT Security Code Review - Use of unsafe yaml load,New,06/Feb/17 5:20 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1499,272822,BPiT Security Code Review - subprocess_popen_with_shell_equals_true,Closed,06/Feb/17 5:18 PM,18/Apr/17 6:13 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,16/Feb/17 9:37 PM,Integration,Security
Defect,SE-1498,272819,"BPiT Code Review - get(url,headers,verify) verify=false",New,06/Feb/17 5:16 PM,18/Apr/17 6:20 PM,S2,SE,Security Engineering,software,josh8058,,,Business Process Templates,,Normal,,Integration,Security
Defect,SE-1497,272779,Responsible Disclosure - Administrative User Leakage,New,06/Feb/17 4:23 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,rackspace.com,,Normal,,Integration,Security
Defect,SE-1472,268393,XML parser external entity resolution is enabled,New,27/Jan/17 12:15 AM,18/Apr/17 6:18 PM,S3,SE,Security Engineering,software,josh8058,,,Customer Management Service (CMS),,Normal,,Integration,Security
Defect,SE-1471,268391,OpenSSH < 7.0 Multiple Vulnerabilities,Closed,27/Jan/17 12:04 AM,18/Apr/17 6:14 PM,S3,SE,Security Engineering,software,josh8058,,,Rackspace CTI,,Normal,07/Mar/17 7:12 PM,Integration,Security
Defect,SE-1470,268390,CTI platform is not accessing Cloud Identity,Closed,27/Jan/17 12:00 AM,18/Apr/17 6:13 PM,S1,SE,Security Engineering,software,josh8058,,,Rackspace CTI,,Normal,10/Mar/17 7:35 PM,Integration,Security
Defect,SE-1469,268389,The CTI platform client is using insecure connection,Closed,26/Jan/17 11:58 PM,18/Apr/17 6:14 PM,S1,SE,Security Engineering,software,josh8058,,,Rackspace CTI,,Normal,10/Mar/17 7:32 PM,Integration,Security
Defect,SE-1468,268388,It is possible to connect to the CTI platform and monitor the channel without authentication,Closed,26/Jan/17 11:57 PM,18/Apr/17 6:14 PM,S1,SE,Security Engineering,software,josh8058,,,Rackspace CTI,,Normal,10/Mar/17 8:45 PM,Integration,Security
Defect,SE-1467,268386,AES adapter is not accessing Cloud Identity ,Closed,26/Jan/17 11:55 PM,18/Apr/17 6:13 PM,S1,SE,Security Engineering,software,josh8058,,,Rackspace CTI,,Normal,09/Mar/17 5:36 PM,Integration,Security
Defect,SE-1466,268385,No reconnect provision in tsapi.dial call in server.py,Closed,26/Jan/17 11:54 PM,18/Apr/17 6:14 PM,S3,SE,Security Engineering,software,josh8058,,,Rackspace CTI,,Normal,10/Mar/17 6:14 PM,Integration,Security
Defect,SE-1465,268384,Both the Avaya client and server are using insecure channels and ports,Closed,26/Jan/17 11:51 PM,18/Apr/17 6:13 PM,S1,SE,Security Engineering,software,josh8058,,,Rackspace CTI,,Normal,09/Mar/17 5:38 PM,Integration,Security
Defect,SE-1464,268383,It is possible to connect to the AES adapter and monitor the channel without authentication,Closed,26/Jan/17 11:48 PM,18/Apr/17 6:14 PM,S1,SE,Security Engineering,software,josh8058,,,Rackspace CTI,,Normal,10/Mar/17 7:49 PM,Integration,Security
Defect,SE-1461,267364,Responsible Disclosure - Insecure verification mechanism - IDOR Vulnerability,Closed,24/Jan/17 10:15 PM,18/Apr/17 6:13 PM,S3,SE,Security Engineering,software,josh8058,,,Community Website,,Normal,16/Mar/17 3:19 PM,Integration,Security
Defect,SE-1456,266546,Cleartext Session ID in Logs,Closed,23/Jan/17 4:30 PM,18/Apr/17 6:13 PM,S2,SE,Security Engineering,software,josh8058,,,Carina,,Normal,27/Mar/17 2:44 PM,Integration,Security
Defect,SE-1454,265999,Responsible Disclosure - Email verification issue in community account,Closed,20/Jan/17 7:29 PM,18/Apr/17 6:14 PM,S2,SE,Security Engineering,software,josh8058,,,Community Website,,Normal,16/Mar/17 3:21 PM,Integration,Security
Defect,SE-1453,265907,Responsible Disclosure - Found one critical vulnerabilities in one IP (184.106.31.90) allow Remote Code execution at server site,Closed,20/Jan/17 4:00 PM,18/Apr/17 6:14 PM,S2,SE,Security Engineering,software,josh8058,,,Email & Apps,,Normal,10/Apr/17 10:01 PM,Integration,Security
Defect,SE-1452,265790,Responsible Disclosure - Publicly disclosed Server version in Marketplace,Closed,20/Jan/17 12:19 AM,18/Apr/17 6:14 PM,S3,SE,Security Engineering,software,josh8058,,,Security Report,,Normal,23/Feb/17 4:23 PM,Integration,Security
Defect,SE-1451,265786,Responsible Disclosure - Text injection in Marketplace,Closed,20/Jan/17 12:04 AM,18/Apr/17 6:13 PM,S3,SE,Security Engineering,software,josh8058,,,Security Report,,Normal,23/Feb/17 4:22 PM,Integration,Security
Defect,SE-1442,264892,Responsible Disclosure - Session alive after reseting password to marketplace.rackspace.com,Closed,18/Jan/17 3:52 PM,18/Apr/17 6:14 PM,S3,SE,Security Engineering,software,josh8058,,,Security Report,,Normal,23/Feb/17 4:24 PM,Integration,Security
Defect,SE-1421,262536,API Key in Local Storage,Closed,11/Jan/17 10:30 PM,18/Apr/17 6:14 PM,S2,SE,Security Engineering,software,josh8058,,,Carina,,Normal,27/Mar/17 2:44 PM,Integration,Security
Defect,SE-1420,262493,eConnect UI - Email addresses disclosed ,Closed,11/Jan/17 9:45 PM,18/Apr/17 6:14 PM,S3,SE,Security Engineering,software,josh8058,,,eConnect,,Normal,23/Mar/17 2:39 PM,Integration,Security
Defect,SE-1419,262492,eConnect UI - File upload functionality,Closed,11/Jan/17 9:44 PM,18/Apr/17 6:14 PM,S3,SE,Security Engineering,software,josh8058,,,eConnect,,Normal,24/Mar/17 4:12 PM,Integration,Security
Defect,SE-1418,262491,eConnect UI - Password field with autocomplete enabled,Closed,11/Jan/17 9:43 PM,18/Apr/17 6:14 PM,S3,SE,Security Engineering,software,josh8058,,,eConnect,,Normal,23/Mar/17 6:14 PM,Integration,Security
Defect,SE-1417,262490,eConnect UI - CSRF,Closed,11/Jan/17 9:42 PM,18/Apr/17 6:13 PM,S1,SE,Security Engineering,software,josh8058,,,eConnect,,High,17/Jan/17 6:37 PM,Integration,Security
Defect,SE-1416,262488,eConnect UI - Privilege Escalation,Closed,11/Jan/17 9:41 PM,18/Apr/17 6:14 PM,S1,SE,Security Engineering,software,josh8058,,,eConnect,,High,17/Jan/17 6:44 PM,Integration,Security
Defect,SE-1415,262486,eConnect Infra - Update Server version to latest,Closed,11/Jan/17 9:38 PM,18/Apr/17 6:14 PM,S3,SE,Security Engineering,software,josh8058,,,eConnect,,Normal,17/Apr/17 4:49 PM,Integration,Security
Defect,SE-1414,262485,eConnect Infra - TLS Version 1.0 Protocol Detection,Closed,11/Jan/17 9:37 PM,18/Apr/17 6:14 PM,S3,SE,Security Engineering,software,josh8058,,,eConnect,,Normal,19/Jan/17 9:05 PM,Integration,Security
Defect,SE-1413,262484,eConnect Infra - Server Version Disclosure,New,11/Jan/17 9:36 PM,18/Apr/17 6:20 PM,S3,SE,Security Engineering,software,josh8058,,,eConnect,,Normal,,Integration,Security
Defect,SE-1412,262483,eConnect Infra - SSL Certificate with Wrong Hostname,Closed,11/Jan/17 9:36 PM,18/Apr/17 6:14 PM,S2,SE,Security Engineering,software,josh8058,,,eConnect,,Medium,19/Jan/17 9:06 PM,Integration,Security
Defect,SE-1411,262480,eConnect Infra - X-Frame-option Header is not present,New,11/Jan/17 9:35 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,eConnect,,Medium,,Integration,Security
Defect,SE-1410,262477,eConnect Infra - x-xss-protection header,New,11/Jan/17 9:33 PM,18/Apr/17 6:19 PM,S2,SE,Security Engineering,software,josh8058,,,eConnect,,Medium,,Integration,Security
Defect,SE-1409,262467,FMW - Cacheable HTTPS Response,Closed,11/Jan/17 9:22 PM,18/Apr/17 6:13 PM,S3,SE,Security Engineering,software,josh8058,,,Oracle Fusion Middleware (FMW),,Normal,17/Apr/17 4:35 PM,Integration,Security
Defect,SE-1408,262466,FMW - Web Application Potentially Vulnerable to Clickjacking,Closed,11/Jan/17 9:21 PM,18/Apr/17 6:13 PM,S2,SE,Security Engineering,software,josh8058,,,Oracle Fusion Middleware (FMW),,Medium,17/Apr/17 4:52 PM,Integration,Security
Defect,SE-1407,262464,FMW - SSL RC4 Cipher Suites Supported ,New,11/Jan/17 9:20 PM,18/Apr/17 6:19 PM,S3,SE,Security Engineering,software,josh8058,,,Oracle Fusion Middleware (FMW),,Normal,,Integration,Security
Defect,SE-1406,262463,FMW - TLS Version 1.0 /1.1 Protocol Detection ,Closed,11/Jan/17 9:18 PM,18/Apr/17 6:14 PM,S2,SE,Security Engineering,software,josh8058,,,Oracle Fusion Middleware (FMW),,Medium,17/Apr/17 4:35 PM,Integration,Security
Defect,SE-1404,261823,eConnect UI - Reflected/Stored XSS,Closed,10/Jan/17 8:02 PM,18/Apr/17 6:14 PM,S1,SE,Security Engineering,software,josh8058,,,eConnect,,High,17/Jan/17 9:05 PM,Integration,Security
Defect,SE-1398,261526,FMW - Invalid Input Accepted,Closed,10/Jan/17 3:58 PM,18/Apr/17 6:14 PM,S1,SE,Security Engineering,software,josh8058,,,Oracle Fusion Middleware (FMW),,Normal,11/Jan/17 8:33 PM,Integration,Security
Defect,SE-1397,261523,FMW - Lack of Input Validation <ActionId>,Closed,10/Jan/17 3:57 PM,18/Apr/17 6:13 PM,S1,SE,Security Engineering,software,josh8058,,,Oracle Fusion Middleware (FMW),,Normal,10/Jan/17 4:01 PM,Integration,Security
Defect,SE-1396,261519,FMW - No Auth required,Closed,10/Jan/17 3:54 PM,18/Apr/17 6:13 PM,S0,SE,Security Engineering,software,josh8058,,,Oracle Fusion Middleware (FMW),,Normal,10/Jan/17 4:03 PM,Integration,Security
Defect,SE-1395,261481,Quote Management - Error Handling,New,10/Jan/17 2:52 PM,18/Apr/17 6:19 PM,S3,SE,Security Engineering,software,josh8058,,,Quote Management,,Normal,,Integration,Security
Defect,SE-1394,261480,Quote Management - Insecure Direct Object References,Closed,10/Jan/17 2:51 PM,18/Apr/17 6:14 PM,S2,SE,Security Engineering,software,josh8058,,,Quote Management,,Medium,17/Jan/17 6:46 PM,Integration,Security
Defect,SE-1393,261478,Quote Management - OS Command Injection,Closed,10/Jan/17 2:48 PM,18/Apr/17 6:14 PM,S1,SE,Security Engineering,software,josh8058,,,Quote Management,,Normal,10/Jan/17 3:00 PM,Integration,Security
Defect,SE-1392,261477,Quote Management - Email Addresses disclosed.,Closed,10/Jan/17 2:47 PM,18/Apr/17 6:13 PM,S3,SE,Security Engineering,software,josh8058,,,Quote Management,,Normal,17/Apr/17 4:35 PM,Integration,Security
Defect,SE-1391,261476,Quote Management - Logout Functionality – User is not logged out.,Closed,10/Jan/17 2:46 PM,18/Apr/17 6:14 PM,S1,SE,Security Engineering,software,josh8058,,,Quote Management,,High,11/Jan/17 8:30 PM,Integration,Security
Defect,SE-1390,261475,Quote Management - Cross-site scripting (reflected) ,Closed,10/Jan/17 2:45 PM,18/Apr/17 6:14 PM,S0,SE,Security Engineering,software,josh8058,,,Quote Management,,High,31/Jan/17 10:16 PM,Integration,Security
Defect,SE-1389,261472,Quote Management - SMTP service – clear text login commands enabled.,New,10/Jan/17 2:43 PM,18/Apr/17 6:20 PM,S3,SE,Security Engineering,software,josh8058,,,Quote Management,,Normal,,Integration,Security
Defect,SE-1388,261470,Quote Management - Update Openssh / Openssl to latest version,Closed,10/Jan/17 2:42 PM,18/Apr/17 6:13 PM,S3,SE,Security Engineering,software,josh8058,,,Quote Management,,Normal,27/Mar/17 4:14 PM,Integration,Security
Defect,SE-1387,261469,Quote Management - SSH/Port 22 Weak MAC & Arcfour Algorithms/ CBC mode ciphers Enabled,Closed,10/Jan/17 2:41 PM,18/Apr/17 6:13 PM,S2,SE,Security Engineering,software,josh8058,,,Quote Management,,Normal,24/Feb/17 5:45 PM,Integration,Security
Defect,SE-1384,259684,Raptor - RC4 Cipher Suites Supported ,Closed,06/Jan/17 8:46 PM,18/Apr/17 6:13 PM,S3,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,09/Mar/17 5:47 PM,Integration,Security
Defect,SE-1383,259678,Raptor - Apache server version/Phusion Passenger version Disclosed,Closed,06/Jan/17 8:45 PM,18/Apr/17 6:14 PM,S3,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,09/Mar/17 5:39 PM,Integration,Security
Defect,SE-1382,259652,Raptor - Frameable Response – clickjacking,New,06/Jan/17 8:44 PM,18/Apr/17 6:19 PM,S3,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,,Integration,Security
Defect,SE-1381,259643,Raptor - Proper Error Handling should be implemented,New,06/Jan/17 8:43 PM,18/Apr/17 6:19 PM,S3,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,,Integration,Security
Defect,SE-1380,259642,Raptor - Email Addresses disclosed,New,06/Jan/17 8:42 PM,18/Apr/17 6:19 PM,S3,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,,Integration,Security
Defect,SE-1379,259640,Raptor - Application configuration Weakness - /robots.txt file is open,New,06/Jan/17 8:41 PM,18/Apr/17 6:19 PM,S3,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,,Integration,Security
Defect,SE-1378,259638,Raptor - Access to admin interfaces - the accounts are visible.,Closed,06/Jan/17 8:41 PM,18/Apr/17 6:14 PM,S2,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,09/Jan/17 8:31 PM,Integration,Security
Defect,SE-1377,259637,Raptor - TLS Version 1.0 Protocol detected,Closed,06/Jan/17 8:39 PM,18/Apr/17 6:13 PM,S2,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,09/Jan/17 8:28 PM,Integration,Security
Defect,SE-1376,259636,Raptor - Logout Functionality – User is not logged out,Closed,06/Jan/17 8:38 PM,18/Apr/17 6:14 PM,S1,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,09/Jan/17 8:26 PM,Integration,Security
Defect,SE-1374,259633,Raptor - Bypassing Authentication Schema – Blank Password is accepted,Closed,06/Jan/17 8:37 PM,18/Apr/17 6:13 PM,S1,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,09/Jan/17 8:24 PM,Integration,Security
Defect,SE-1372,259631,Raptor - Bypassing Authentication Schema - Any Password is accepted for Valid User Name.,Closed,06/Jan/17 8:36 PM,18/Apr/17 6:13 PM,S1,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,09/Jan/17 8:23 PM,Integration,Security
Defect,SE-1371,259628,Raptor - Cross-site scripting (reflected) ,Closed,06/Jan/17 8:33 PM,18/Apr/17 6:13 PM,S0,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,02/Feb/17 3:50 PM,Integration,Security
Defect,SE-1370,259626,Raptor - Upgrade Apache to latest version,Closed,06/Jan/17 8:29 PM,18/Apr/17 6:14 PM,S3,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,09/Mar/17 5:20 PM,Integration,Security
Defect,SE-1369,259623,Raptor - Update Openssh / Openssl to latest version,Closed,06/Jan/17 8:28 PM,18/Apr/17 6:14 PM,S3,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,27/Mar/17 4:08 PM,Integration,Security
Defect,SE-1368,259620,Raptor - Server information disclosure,New,06/Jan/17 8:26 PM,18/Apr/17 6:19 PM,S3,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,,Integration,Security
Defect,SE-1367,259616,Raptor - TLS Version 1.0 /1.1 Protocol ,Closed,06/Jan/17 8:25 PM,18/Apr/17 6:14 PM,S2,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,11/Jan/17 9:23 PM,Integration,Security
Defect,SE-1366,259613,Raptor - SSL RC4 Cipher Suites Supported ,Closed,06/Jan/17 8:24 PM,18/Apr/17 6:14 PM,S3,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,09/Mar/17 5:47 PM,Integration,Security
Defect,SE-1365,259612,Raptor - SSH/Port 22 Weak MAC & Arcfour Algorithms/ CBC mode ciphers Enabled,Closed,06/Jan/17 8:23 PM,18/Apr/17 6:14 PM,S2,SE,Security Engineering,software,josh8058,,,Raptor,,Normal,28/Feb/17 7:20 PM,Integration,Security
Defect,SE-1363,259449,Document Management - Bypassing Authentication Schema,Closed,06/Jan/17 2:32 PM,18/Apr/17 6:14 PM,S1,SE,Security Engineering,software,josh8058,,,Document Management,,Normal,11/Jan/17 9:27 PM,Integration,Security
Defect,SE-1362,259448,Document Management - Logout and Browser Cache Management,Closed,06/Jan/17 2:31 PM,18/Apr/17 6:14 PM,S1,SE,Security Engineering,software,josh8058,,,Document Management,,Normal,11/Jan/17 9:25 PM,Integration,Security
Defect,SE-1361,259447,Document Management - Privilege Escalation ,Closed,06/Jan/17 2:30 PM,18/Apr/17 6:14 PM,S1,SE,Security Engineering,software,josh8058,,,Document Management,,Normal,11/Jan/17 9:26 PM,Integration,Security
